epoch,train_loss,rmse,mae,acc,acc_tolerant
1,24.3878,4.3566,4.2409,0.0000,0.0094
2,11.1247,2.9043,2.7620,0.0000,0.0969
3,4.0223,1.6568,1.4025,0.1938,0.5625
4,1.6102,1.1071,0.8859,0.3438,0.8250
5,1.0100,0.9600,0.7539,0.4281,0.8781
6,0.9281,0.9120,0.7158,0.4562,0.8875
7,0.9467,0.8937,0.6899,0.4562,0.9000
8,0.8438,0.8179,0.6337,0.5156,0.9281
9,0.8548,0.8777,0.6771,0.4906,0.8969
10,0.8511,0.8980,0.7171,0.4344,0.9062
11,0.8508,0.8309,0.6436,0.4969,0.9281
12,0.8343,0.8627,0.6645,0.4719,0.9125
13,0.8590,0.9784,0.7772,0.4031,0.8656
14,0.7444,0.7776,0.5991,0.5250,0.9406
15,0.7804,0.8105,0.6240,0.5062,0.9313
16,0.7853,0.8256,0.6411,0.4906,0.9250
17,0.7954,0.8714,0.6909,0.4344,0.9156
18,0.7453,0.7885,0.6077,0.5437,0.9406
19,0.7334,0.8206,0.6341,0.5000,0.9219
20,0.7519,0.8500,0.6597,0.4906,0.9187
21,0.7312,0.8075,0.6213,0.4906,0.9437
22,0.7241,0.7741,0.5974,0.5344,0.9344
23,0.7243,0.7572,0.5749,0.5594,0.9437
24,0.7050,0.8394,0.6480,0.4969,0.9281
25,0.7309,0.7555,0.5754,0.5500,0.9437
26,0.6952,0.7433,0.5730,0.5406,0.9500
27,0.6907,0.8090,0.6249,0.4813,0.9250
28,0.7068,0.7326,0.5593,0.5719,0.9437
29,0.6664,0.8403,0.6567,0.4781,0.9187
30,0.6377,0.8018,0.6204,0.4938,0.9250
31,0.6739,0.7559,0.5819,0.5406,0.9437
32,0.6369,0.7504,0.5775,0.5437,0.9406
33,0.6527,0.7381,0.5626,0.5656,0.9375
34,0.6680,0.7918,0.6083,0.5125,0.9375
35,0.6397,0.7975,0.6169,0.5125,0.9313
36,0.6663,0.7570,0.5709,0.5437,0.9437
37,0.6340,0.7430,0.5705,0.5375,0.9500
